0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
-+-+-+-+-
() : 1363
(1, 7, 5) : 1
(1, 7, 6) : 2
(1, 7, 9) : 6
(1, 7, 10) : 1
(1, 7, 12) : 1
(1, 7, 13) : 1
(1, 7, 16) : 4
(1, 7, 17) : 1
(1, 8) : 7
(1, 8, 6) : 6
(1, 8, 9) : 14
(1, 8, 10) : 1
(1, 8, 12) : 4
(1, 8, 13) : 4
(1, 8, 15) : 4
(1, 8, 18) : 1
(1, 9) : 565
(1, 9, 0) : 7
(1, 9, 3) : 3
(1, 9, 4) : 19
(1, 9, 5) : 4
(1, 9, 6) : 177
(1, 9, 7) : 24
(1, 9, 8) : 159
(1, 9, 10) : 92
(1, 9, 11) : 16
(1, 9, 12) : 109
(1, 9, 13) : 269
(1, 9, 14) : 14
(1, 9, 15) : 58
(1, 9, 16) : 12
(1, 9, 17) : 67
(1, 9, 18) : 23
(1, 10) : 5
(1, 10, 0) : 1
(1, 10, 4) : 1
(1, 10, 8) : 4
(1, 10, 9) : 13
(1, 10, 12) : 1
(1, 10, 13) : 4
(1, 11) : 3
(1, 11, 4) : 13
(1, 11, 6) : 7
(1, 11, 8) : 1
(1, 11, 9) : 3
(1, 11, 12) : 3
(1, 11, 13) : 5
(1, 11, 17) : 2
(1, 12) : 11
(1, 12, 4) : 3
(1, 12, 6) : 9
(1, 12, 7) : 1
(1, 12, 8) : 5
(1, 12, 9) : 12
(1, 12, 11) : 7
(1, 12, 13) : 6
(1, 12, 16) : 1
(1, 13) : 25
(1, 13, 0) : 1
(1, 13, 4) : 1
(1, 13, 6) : 23
(1, 13, 8) : 17
(1, 13, 9) : 50
(1, 13, 10) : 2
(1, 13, 11) : 7
(1, 13, 12) : 5
(1, 13, 15) : 2
(1, 13, 16) : 1
(1, 13, 18) : 2
(1, 14) : 1
(1, 14, 5) : 1
(1, 14, 6) : 1
(1, 14, 8) : 1
(1, 14, 9) : 1
(1, 14, 10) : 1
(1, 14, 12) : 1
(1, 14, 13) : 1
(1, 15) : 3
(1, 15, 6) : 2
(1, 15, 7) : 1
(1, 15, 8) : 2
(1, 15, 9) : 3
(1, 15, 12) : 1
(1, 15, 13) : 1
(1, 16) : 1
(1, 17) : 2
(1, 17, 3) : 2
